Michael Dubé
COSC 4P03 Final Project

Spread Test Results for Generators.JavaGenerator
Number of samples: 1000000

Value	Percent
False	49.9384
True	50.0616

Integer Results
Min: 0	Max: 99
Value	Percent
0	1.0001
1	0.9986
2	1.0095
3	0.9948999999999999
4	0.9995
5	1.0104
6	1.0233
7	0.9982
8	0.9858
9	0.9942
10	0.9986
11	0.9974999999999999
12	1.0021
13	1.0007
14	0.9941
15	1.0059
16	0.997
17	1.0092
18	1.0023
19	0.9932
20	1.0141
21	1.0005
22	1.0009000000000001
23	1.0248
24	1.014
25	0.9955
26	1.0064
27	1.0005
28	0.9979
29	1.0052
30	1.0063
31	0.9957
32	0.9900000000000001
33	1.004
34	0.9954
35	1.0064
36	0.9961
37	0.9991999999999999
38	1.0179
39	0.9861
40	1.0038
41	1.0021
42	0.9986
43	1.0129000000000001
44	1.0229
45	0.9835999999999999
46	1.0062
47	0.9914
48	0.9922
49	1.009
50	0.9955
51	1.0253
52	0.9914
53	0.9858
54	0.9924999999999999
55	0.9969
56	1.0004000000000002
57	0.9991999999999999
58	1.0030000000000001
59	0.9981
60	0.9983000000000001
61	1.0062
62	0.9946
63	0.9950000000000001
64	1.0106
65	0.9964000000000001
66	0.9990000000000001
67	0.9977
68	1.0131
69	1.0061
70	0.9991
71	0.9862
72	0.9998
73	0.9793
74	1.0049000000000001
75	0.9991999999999999
76	0.9883
77	1.0038
78	0.9994
79	0.9995
80	1.0036
81	0.9878
82	0.9997
83	0.9878
84	0.9953
85	0.9994
86	0.9892
87	1.0101
88	0.9936999999999999
89	1.0223
90	0.988
91	1.004
92	0.9856999999999999
93	1.0088
94	0.9844999999999999
95	0.9883
96	0.9959000000000001
97	0.9986999999999999
98	1.0052999999999999
99	0.9926

Spread Test Results for Generators.LinearCongruentialGenerator
Number of samples: 1000000

Value	Percent
False	50.0
True	50.0

Integer Results
Min: 0	Max: 99
Value	Percent
0	0.9969
1	1.0107
2	0.9974999999999999
3	0.9959000000000001
4	0.9948999999999999
5	0.9979999999999999
6	1.0018
7	1.016
8	0.9995999999999999
9	0.9839
10	1.0018
11	1.0097
12	0.9882
13	1.0187
14	0.9915
15	1.0116999999999998
16	0.9974999999999999
17	0.9871
18	1.0037
19	0.9989
20	0.9988
21	1.0085
22	0.9985
23	1.0009000000000001
24	0.9984
25	0.9927999999999999
26	0.9961
27	1.0068000000000001
28	1.0014
29	0.9986999999999999
30	1.0113
31	0.9988
32	0.989
33	1.0247
34	0.9961
35	1.0092
36	1.0012999999999999
37	0.9875999999999999
38	1.0198
39	0.9852
40	1.0081
41	0.9879000000000001
42	1.0075
43	0.9976
44	1.005
45	0.9919000000000001
46	1.0056
47	0.9964999999999999
48	1.0103
49	1.0185
50	1.0012
51	1.0004000000000002
52	0.9946999999999999
53	1.0012
54	0.9853999999999999
55	1.0046
56	1.008
57	0.9997
58	1.0021
59	1.0050999999999999
60	0.9942
61	0.9941
62	0.9871
63	0.9942
64	0.988
65	1.0108000000000001
66	1.0089000000000001
67	0.9946999999999999
68	0.9938
69	1.0108000000000001
70	0.9986999999999999
71	1.0109
72	1.0011
73	0.9972
74	1.0048
75	0.9962000000000001
76	0.9889
77	1.0048
78	0.9924999999999999
79	1.0071999999999999
80	1.0228
81	0.9889
82	0.9908999999999999
83	0.9927
84	0.9954
85	1.0024
86	0.9942
87	0.9745999999999999
88	1.0244
89	0.9964999999999999
90	0.9998
91	0.9953
92	0.9854999999999999
93	0.9853999999999999
94	1.0021
95	0.9976
96	1.0138
97	0.9991999999999999
98	1.0011
99	0.9993

